OBJECTID,SITE_CODE,SITE_NAME,AC,TIPO,HECTAREAS,Shape_Leng,Shape_Area
1222,ES6170037,El Saladillo - Punta de Baños,DGBBD,B,3246.55604923,24406.8846924,32465560.4923
1223,ES0000538,ZEPA Espacio marino de Ifac,DGBBD,A,933.34241419,29878.6768101,9333424.1419
1224,ES0000500,Golfo de Cádiz,DGBBD,A,231916.910674,215965.651879,2319169106.74
1225,ES0000501,Espacio marino del Tinto y del Odiel,DGBBD,A,4945.1683342,45671.7135843,49451683.342
1226,ES0000510,Plataforma-talud marinos del Cabo de la Nao,DGBBD,A,268275.210828,318101.978192,2682752108.28
1227,ES0000512,Espacio marino del Delta de l'Ebre-Illes Columbretes,DGBBD,A,903213.566072,555725.43983,9032135660.72
1228,ES0000521,Espacio marino del norte y oeste de Menorca,DGBBD,A,162710.261267,307084.185632,1627102612.67
1229,ES0000520,Espacio marino del norte de Mallorca,DGBBD,A,99071.8433326,408069.434593,990718433.326
1230,ES0000519,Espacio marino del poniente de Mallorca,DGBBD,A,47165.9893063,165009.426233,471659893.063
1231,ES0000518,Espacio marino del sur de Mallorca y Cabrera,DGBBD,A,40240.1569827,203454.874616,402401569.827
1232,ES0000517,Espacio marino del levante de Ibiza,DGBBD,A,19226.9177834,114961.34982,192269177.834
1233,ES0000515,Espacio marino de Formentera y del sur de Ibiza,DGBBD,A,46574.3367952,216960.988024,465743367.952
1234,ES0000516,Espacio marino del poniente y norte de Ibiza,DGBBD,A,47298.4256501,243650.68339,472984256.501
1235,ES0000522,Espacio marino del sureste de Menorca,DGBBD,A,23777.6123929,124697.038081,237776123.929
1236,ES0000506,Bahía de Almería,DGBBD,A,126781.670073,198747.374507,1267816700.73
1237,ES0000490,Espacio marino de la Ría de Mundaka-Cabo de Ogoño,DGBBD,A,17541.9757831,102426.47657,175419757.831
1238,ES0000492,Espacio marino de los Islotes de Portios-Isla Conejera-Isla de Mouro,DGBBD,A,1513.41515377,44971.7488868,15134151.5377
1239,ES0000504,Bahía de Málaga-Cerro Gordo,DGBBD,A,60984.9833555,143466.765714,609849833.555
1240,ES0000507,Espacio marino de los Islotes Litorales de Murcia y Almería,DGBBD,A,12335.002314,82746.399175,123350023.14
1241,ES0000508,Espacio marino de Tabarca-Cabo de Palos,DGBBD,A,126067.892108,220016.284962,1260678921.08
1242,ES0000514,Espacio marino de l'Empordà,DGBBD,A,86011.8323902,212345.242943,860118323.902
1243,ES0000498,ZEPA Banco de Galicia,DGBBD,A,880721.272344,364349.510245,8807212723.44
1244,ES90ATL01,El Cachucho,DGBBD,B,261664.457268,217067.170525,2616644572.68
1245,ES0000505,Espacio marino de la Isla de Alborán,DGBBD,A,66107.0647426,110820.728515,661070647.426
1246,ESZZ16005,Espacio marino de Alborán,DGBBD,B,37251.111485,107273.048216,372511114.85
1247,ESZZ16007,Espacio marino de la Marina Alta,DGBBD,C,2347.19021379,50919.3710829,23471902.1379
1248,ES0000513,Espacio marino del Baix Llobregat-Garraf,DGBBD,A,38873.1037243,126228.853104,388731037.243
1249,ESZZ12004,Estrecho Occidental,DGBBD,C,200824.92453,300061.274098,2008249245.3
1250,ESZZ16011,Espacio marino Cañones de Alicante,DGBBD,B,475172.627426,298720.506941,4751726274.26
1251,ESZZ12005,Espacio Marino Jaizkibel-Capbretón,DGBBD,B,152535.870938,184329.648317,1525358709.38
1252,ESZZ16012,Canal de Ibiza,DGBBD,B,540351.396238,338187.59003,5403513962.38
1253,ES0000554,Corredor migratorio galaico-cantábrico occidental,DGBBD,A,1409179.5579,2012484.29166,14091795579.0
1254,ES4120091,Sabinares del Arlanza,CASTILLA Y LEÓN,B,37689.5465645,120073.733142,376895465.645
1255,ES4190060,Tejedelo,CASTILLA Y LEÓN,B,136.076006721,4877.61610613,1360760.06721
1256,ES4190061,Quejigares de la Tierra del Vino,CASTILLA Y LEÓN,B,366.346587472,9108.84072063,3663465.87472
1257,ES4190133,Campo Alto de Aliste,CASTILLA Y LEÓN,B,2278.77081392,26122.7365687,22787708.1392
1258,ES4190134,Lagunas de Tera y Vidriales,CASTILLA Y LEÓN,B,2291.45255236,43717.7441573,22914525.5236
1259,ES4190110,Sierra de la Cabrera,CASTILLA Y LEÓN,B,18783.5810464,136697.327633,187835810.464
1260,ES4190146,Lagunas y pastizales salinos de Villafáfila,CASTILLA Y LEÓN,B,4207.90143411,141779.224907,42079014.3411
1261,ES4190033,Sierra de la Culebra,CASTILLA Y LEÓN,B,61314.0292214,252054.926472,613140292.214
1262,ES4190102,Cañones del Duero,CASTILLA Y LEÓN,B,13514.156242,92622.8222662,135141562.42
1263,ES4190105,Lago de Sanabria y alrededores,CASTILLA Y LEÓN,B,32508.7447472,117543.822933,325087447.472
1264,ES4190131,Riberas del Río Tuela y afluentes,CASTILLA Y LEÓN,B,497.620994217,176560.915766,4976209.94217
1265,ES4130079,Riberas del Río Esla y afluentes,CASTILLA Y LEÓN,B,1946.67357777,300826.432685,19466735.7777
1266,ES4190132,Riberas del Río Manzanas y afluentes,CASTILLA Y LEÓN,B,422.984056199,187732.671248,4229840.56199
1267,ES4190074,Riberas del Río Aliste y afluentes,CASTILLA Y LEÓN,B,1748.8458102,254053.242596,17488458.102
1268,ES4180130,El Carrascal,CASTILLA Y LEÓN,B,5420.4190175,106951.059029,54204190.175
1269,ES4140053,Montes del Cerrato,CASTILLA Y LEÓN,B,12161.6280306,450243.955895,121616280.306
1270,ES4140129,Montes Torozos y Páramos de Torquemada-Astudillo,CASTILLA Y LEÓN,B,22999.9324315,425721.743651,229999324.315
1271,ES4180124,Salgüeros de Aldeamayor,CASTILLA Y LEÓN,B,1181.56872019,16378.7014502,11815687.2019
1272,ES4180147,Humedales de Los Arenales,CASTILLA Y LEÓN,B,3286.47902438,616699.516865,32864790.2438
1273,ES4140082,Riberas del Río Pisuerga y afluentes,CASTILLA Y LEÓN,B,2277.95276489,492528.913408,22779527.6489
1274,ES4160084,Riberas del Río Duratón,CASTILLA Y LEÓN,B,310.115297832,80893.7863972,3101152.97832
1275,ES4180069,Riberas del Río Cea,CASTILLA Y LEÓN,B,876.851834633,193810.56295,8768518.34633
1276,ES4180070,Riberas del Río Cega,CASTILLA Y LEÓN,B,536.28055714,160237.513677,5362805.5714
1277,ES4150096,Arribes del Duero,CASTILLA Y LEÓN,B,106178.287221,408558.350955,1061782872.21
1278,ES4130065,Riberas del Río Órbigo y afluentes,CASTILLA Y LEÓN,B,1269.64523073,270862.685006,12696452.3073
1279,ES4180081,Riberas del Río Adaja y afluentes,CASTILLA Y LEÓN,B,1524.891566,386478.57303,15248915.66
1280,ES4170083,Riberas del Río Duero y afluentes,CASTILLA Y LEÓN,B,6266.2209561,1144717.54532,62662209.561
1281,ES4170148,Altos de Barahona,CASTILLA Y LEÓN,B,43988.3070271,190518.872715,439883070.271
1282,ES4160019,Sierra de Ayllón,CASTILLA Y LEÓN,B,14348.9580131,152356.912954,143489580.131
1283,ES4170144,Riberas del Río Cidacos y afluentes,CASTILLA Y LEÓN,B,195.936029646,69561.1432975,1959360.29646
1284,ES4170140,Robledales del Berrún,CASTILLA Y LEÓN,B,492.362818748,15933.268818,4923628.18748
1285,ES4170142,Encinares de Tiermes,CASTILLA Y LEÓN,B,1149.07996868,23400.363774,11490799.6868
1286,ES4170141,Pinar de Losana,CASTILLA Y LEÓN,B,800.527725257,20397.3990688,8005277.25257
1287,ES4170143,Encinares de Sierra del Costanazo,CASTILLA Y LEÓN,B,2064.36927113,37647.3372503,20643692.7113
